SENTENCE #,WORD,POS_TAG
0,Bujar,PROPN
0,Gjoka,PROPN
0,:,PUNCT
0,Gjuha,NOUN
0,është,VERB
0,shpirti,NOUN
0,i,DET
0,kombit,NOUN
0,",",PUNCT
0,shqipja,NOUN
0,rrezikohet,VERB
0,nga,ADP
0,agresioni,NOUN
0,i,DET
0,gjuhëve,NOUN
0,të,DET
0,tjera,PRON
0,01,NUM
0,/,PUNCT
0,02,NUM
0,/,PUNCT
0,2024,NUM
0,Ministria,PROPN
0,e,DET
0,Arsimit,PROPN
0,dhe,CCONJ
0,Sportit,PROPN
0,ka,AUX
0,shpallur,VERB
0,vitin,NOUN
0,2024,NUM
0,si,SCONJ
0,"""",PUNCT
0,Viti,NOUN
0,i,DET
0,Gjuhës,PROPN
0,Shqipe,PROPN
0,"""",PUNCT
0,",",PUNCT
0,një,DET
0,arsye,NOUN
0,më,PART
0,shumë,ADV
0,për,PART
0,të,PART
0,shtuar,VERB
0,vëmendjen,NOUN
0,ndaj,ADP
0,mbrojtjes,NOUN
0,së,DET
0,gjuhës,NOUN
0,shqipe,ADJ
0,.,PUNCT
1,I,DET
1,ftuar,ADJ
1,në,ADP
1,emisionin,NOUN
1,"""",PUNCT
1,Mirëmëngjesi,PROPN
1,Shqipëri,PROPN
1,"""",PUNCT
1,",",PUNCT
1,shkrimtari,NOUN
1,dhe,CCONJ
1,studiuesi,NOUN
1,Behar,PROPN
1,Gjoka,PROPN
1,foli,VERB
1,për,ADP
1,rëndësinë,NOUN
1,e,DET
1,ruajtjes,NOUN
1,së,DET
1,gjuhës,NOUN
1,.,PUNCT
2,"""",PUNCT
2,Çdo,PRON
2,ditë,NOUN
2,është,VERB
2,dita,NOUN
2,e,DET
2,Gjuhës,PROPN
2,Shqipe,ADJ
2,.,PUNCT
3,Mendoj,VERB
3,që,SCONJ
3,gjuha,NOUN
3,është,VERB
3,shtëpia,NOUN
3,e,DET
3,qenies,NOUN
3,dhe,CCONJ
3,gjuha,NOUN
3,kombëtare,ADJ
3,është,VERB
3,shpirti,NOUN
3,i,DET
3,kombit,NOUN
3,",",PUNCT
3,"""",PUNCT
3,u,PRON
3,shpreh,VERB
3,Gjoka,PROPN
3,.,PUNCT
4,Lidhur,VERB
4,me,ADP
4,fenomenin,NOUN
4,e,DET
4,tjetërsimit,NOUN
4,të,DET
4,gjuhës,NOUN
4,nga,ADP
4,të,DET
4,rinjtë,NOUN
4,",",PUNCT
4,kryesisht,ADV
4,në,ADP
4,rrjete,NOUN
4,sociale,ADJ
4,",",PUNCT
4,Gjoka,PROPN
4,tha,VERB
4,se,SCONJ
4,sipas,ADP
4,tij,PRON
4,jemi,VERB
4,përballë,ADV
4,një,DET
4,realiteti,NOUN
4,që,PRON
4,rrezikohemi,VERB
4,nga,ADP
4,shkujdesja,NOUN
4,",",PUNCT
4,por,CCONJ
4,edhe,PART
4,nga,ADP
4,agresioni,NOUN
4,i,DET
4,gjuhëve,NOUN
4,të,DET
4,tjera,PRON
4,.,PUNCT
5,Ndaj,ADP
5,për,ADP
5,studiuesin,NOUN
5,është,VERB
5,detyrë,NOUN
5,e,DET
5,çdo,PRON
5,qytetari,NOUN
5,",",PUNCT
5,por,CCONJ
5,edhe,CCONJ
5,politikës,NOUN
5,arsimore,ADJ
5,që,SCONJ
5,të,PART
5,punohet,VERB
5,për,ADP
5,gjuhën,NOUN
5,shqipe,ADJ
5,.,PUNCT
6,"""",PUNCT
6,Para,ADP
6,disa,PRON
6,vitesh,NOUN
6,u,PART
6,fol,VERB
6,për,ADP
6,redaktorë,NOUN
6,",",PUNCT
6,por,CCONJ
6,që,PRON
6,nuk,PART
6,u,PART
6,realizua,VERB
6,.,PUNCT
7,Tani,ADV
7,shpallet,VERB
7,viti,NOUN
7,i,DET
7,gjuhës,NOUN
7,shqipe,ADJ
7,.,PUNCT
8,Unë,PRON
8,mendoj,VERB
8,se,SCONJ
8,çdo,PRON
8,ditë,NOUN
8,është,VERB
8,Dita,NOUN
8,e,DET
8,Gjuhës,PROPN
8,",",PUNCT
8,pasi,SCONJ
8,në,ADP
8,momentin,NOUN
8,që,PRON
8,një,DET
8,shkresë,NOUN
8,fiton,VERB
8,një,DET
8,dimension,NOUN
8,zyrtar,ADJ
8,duhet,AUX
8,që,SCONJ
8,të,PART
8,verifikohet,VERB
8,si,SCONJ
8,është,AUX
8,shkruar,VERB
8,.,PUNCT
9,Ndërsa,CCONJ
9,në,ADP
9,rrjete,NOUN
9,sociale,ADJ
9,kemi,VERB
9,një,DET
9,ligjërim,NOUN
9,më,PART
9,të,DET
9,shkujdesur,ADJ
9,",",PUNCT
9,ku,ADV
9,shkronja,NOUN
9,ë,ADJ
9,dhe,CCONJ
9,ç,NOUN
9,janë,VERB
9,thuajse,NOUN
9,të,DET
9,fshira,ADJ
9,",",PUNCT
9,ose,CCONJ
9,ai,PRON
9,ligjërim,NOUN
9,bisedor,VERB
9,',PUNCT
9,klm,PROPN
9,",",PUNCT
9,flm,NOUN
9,',PUNCT
9,e,DET
9,të,DET
9,tjera,PRON
9,",",PUNCT
9,mendoj,VERB
9,se,SCONJ
9,është,VERB
9,një,DET
9,komunikim,NOUN
9,si,SCONJ
9,e,DET
9,folur,ADJ
9,mbrapsht,ADV
9,dikur,ADV
9,.,PUNCT
10,Tani,ADV
10,është,AUX
10,futur,VERB
10,ligjërimi,NOUN
10,shkurtimor,ADJ
10,-,PUNCT
10,me,ADP
10,njëri,PRON
10,-,PUNCT
10,tjetrin,PRON
10,ata,PRON
10,kuptohen,VERB
10,",",PUNCT
10,por,CCONJ
10,ka,VERB
10,një,DET
10,pjesë,NOUN
10,që,PRON
10,mbetet,VERB
10,pas,ADV
10,.,PUNCT
11,Për,ADP
11,Vitin,PROPN
11,e,DET
11,Gjuhës,PROPN
11,Shqipe,ADJ
11,",",PUNCT
11,Ministria,PROPN
11,e,DET
11,Arsimit,PROPN
11,dhe,CCONJ
11,Sportit,PROPN
11,ka,AUX
11,planifikuar,VERB
11,një,DET
11,sërë,NOUN
11,aktivitetesh,NOUN
11,në,ADP
11,rang,NOUN
11,kombëtar,ADJ
11,dhe,CCONJ
11,ndërkombëtar,ADJ
11,",",PUNCT
11,ku,ADV
11,do,PART
11,të,PART
11,përfshihen,VERB
11,të,DET
11,gjitha,PRON
11,shkollat,NOUN
11,e,DET
11,vend,NOUN
11,dhe,CCONJ
11,të,DET
11,diasporës,NOUN
11,.,PUNCT
12,/,PUNCT
12,rtsh,NOUN
12,.,PUNCT
13,al,NOUN
13,/,PUNCT
14,Libri,NOUN
14,"""",PUNCT
14,Dilema,PROPN
14,Kushtetuese,ADJ
14,III,NUM
14,"""",PUNCT
14,-,PUNCT
14,Gjyqtari,PROPN
14,Florian,PROPN
14,Kalaja,PROPN
14,promovon,VERB
14,vëllimin,NOUN
14,e,DET
14,ri,ADJ
14,31,NUM
14,/,PUNCT
14,01,NUM
14,/,PUNCT
14,2024,NUM
14,Një,DET
14,përzgjedhje,NOUN
14,e,DET
14,problematikave,NOUN
14,gjyqësore,ADJ
14,të,DET
14,akumuluara,ADJ
14,nga,ADP
14,eksperienca,NOUN
14,profesionale,ADJ
14,gjatë,ADP
14,kohës,NOUN
14,së,DET
14,ushtrimit,NOUN
14,të,DET
14,detyrës,NOUN
14,së,DET
14,tij,PRON
14,si,SCONJ
14,gjyqtar,NOUN
14,në,ADP
14,disa,PRON
14,prej,ADP
14,qyteteve,NOUN
14,të,DET
14,Shqipërisë,PROPN
14,gjyqtari,NOUN
14,dhe,CCONJ
14,autori,NOUN
14,Florian,PROPN
14,Kalaja,PROPN
14,i,PRON
14,ka,AUX
14,përmbledhur,VERB
14,në,ADP
14,librin,NOUN
14,"""",PUNCT
14,Dilema,PROPN
14,Kushtetuese,ADJ
14,3,NUM
14,"""",PUNCT
14,të,DET
14,cilin,PRON
14,autori,NOUN
14,e,PRON
14,ka,AUX
14,promovuar,VERB
14,mes,ADP
14,miqsh,NOUN
14,e,DET
14,bashkëpunëtorësh,NOUN
14,.,PUNCT
15,Në,ADP
15,libër,NOUN
15,ka,VERB
15,artikuj,NOUN
15,të,DET
15,cilët,PRON
15,botohen,VERB
15,për,ADP
15,herë,NOUN
15,të,DET
15,parë,ADJ
15,por,CCONJ
15,edhe,CCONJ
15,artikuj,NOUN
15,të,DET
15,cilët,PRON
15,janë,AUX
15,ripunuar,VERB
15,duke,PART
15,i,PRON
15,përditësuar,VERB
15,me,ADP
15,zhvillimet,NOUN
15,më,PART
15,të,DET
15,fundit,ADJ
15,ligjore,ADJ
15,",",PUNCT
15,ndërsa,CCONJ
15,"""",PUNCT
15,Dilema,PROPN
15,Kushtetuese,ADJ
15,3,NUM
15,"""",PUNCT
15,vjen,VERB
15,pas,ADP
15,5,NUM
15,vitesh,NOUN
15,nga,ADP
15,botimi,NOUN
15,i,DET
15,vëllimit,NOUN
15,të,DET
15,dytë,ADJ
15,dhe,CCONJ
15,pas,ADP
15,7,NUM
15,vitesh,NOUN
15,nga,ADP
15,botimi,NOUN
15,i,DET
15,vëllimit,NOUN
15,të,DET
15,parë,ADJ
15,.,PUNCT
16,Florjan,PROPN
16,Kalaja,PROPN
16,është,VERB
16,autor,NOUN
16,i,DET
16,shumë,PRON
16,shkrimeve,NOUN
16,juridike,ADJ
16,dhe,CCONJ
16,librave,NOUN
16,si,SCONJ
16,"""",PUNCT
16,Gjykimi,PROPN
16,në,ADP
16,mungesë,NOUN
16,në,ADP
16,procesin,NOUN
16,civil,PRON
16,"""",PUNCT
16,;,PUNCT
16,"""",PUNCT
16,Dilema,PROPN
16,kushtetuese,ADJ
16,I,PROPN
16,"""",PUNCT
16,",",PUNCT
16,"""",PUNCT
16,Dilema,PROPN
16,kushtetuese,ADJ
16,II,PROPN
16,"""",PUNCT
16,",",PUNCT
16,"""",PUNCT
16,Gjykimi,PROPN
16,në,ADP
16,Gjykatën,PROPN
16,e,DET
16,Lartë,PROPN
16,"""",PUNCT
16,",",PUNCT
16,"""",PUNCT
16,Lirimi,PROPN
16,me,ADP
16,kusht,NOUN
16,"""",PUNCT
16,",",PUNCT
16,"""",PUNCT
16,Dilema,PROPN
16,Kushtetuese,ADJ
16,III,PROPN
16,"""",PUNCT
16,.,PUNCT
