12		B-DATE_0
/		I-DATE_0
02		I-DATE_0
/		I-DATE_0
2022		I-DATE_0
Banorët		O
e		O
zonës		O
së		O
"		O
5		O
Majit		O
"		O
kanë		O
zhvilluar		O
sërish		O
të		O
shtunën		O
një		O
protestë		O
.		O
Kërkesa		O
e		O
tyre		O
tashmë		O
e		O
përsëritur		O
drejtuar		O
kryeministrit		O
Rama		B-PER
është		O
"		O
Na		O
vlerëso		O
pronat		O
me		O
çmimin		O
e		O
tregut		O
"		O
.		O
"		O
Ne		O
jemi		O
shtetas		O
shqiptarë		O
!		O
Edhe		O
ne		O
kemi		O
të		O
drejta		O
prone		O
,		O
të		O
drejtë		O
jete		O
!		O
E		O
vetmja		O
gjë		O
që		O
më		O
mbetet		O
mua		O
është		O
të		O
mbroj		O
pronën		O
time		O
"		O
tha		O
një		O
prej		O
protestuesve		O
.		O
Sipas		O
tyre		O
autoritetet		O
kanë		O
nënshkruar		O
asnjë		O
dokument		O
,		O
por		O
kanë		O
dhënë		O
vetëm		O
premtime		O
.		O
Autoritetet		O
bashkiake		O
thonë		O
se		O
të		O
gjitha		O
familjet		O
do		O
të		O
trajtohen		O
sipas		O
ligjit		O
.		O
Kryeministri		O
Edi		B-PER
Rama		I-PER
i		O
cili		O
u		O
takua		O
vete		O
me		O
banorët		O
,		O
deklaroi		O
se		O
"		O
për		O
të		O
gjithë		O
banorët		O
qoftë		O
të		O
"		O
5		O
Majit		O
"		O
,		O
dhe		O
të		O
zonës		O
së		O
Unazës		O
,		O
të		O
cilët		O
janë		O
të		O
ndarë		O
në		O
dy		O
kategori		O
,		O
do		O
të		O
ketë		O
një		O
trajtim		O
të		O
dinjitetshëm		O
,		O
njerëzor		O
,		O
solidar		O
,		O
njësoj		O
siç		O
u		O
bë		O
me		O
të		O
gjithë		O
ata		O
që		O
humbën		O
shtëpitë		O
nga		O
tërmeti		O
"		O
.		O
"		O
Ata		O
që		O
janë		O
me		O
certifikatë		O
pronësie		O
s'kemi		O
çfarë		O
diskutojmë		O
,		O
sepse		O
ata		O
janë		O
me		O
dokumente		O
të		O
rregullta		O
,		O
ligjorë		O
dhe		O
për		O
ta		O
zgjidhja		O
është		O
e		O
qartë		O
:		O
ose		O
dëmshpërblim		O
financiar		O
,		O
ose		O
kompensim		O
me		O
këmbim		O
,		O
që		O
ata		O
të		O
marrin		O
më		O
shumë		O
se		O
kanë		O
si		O
pronë		O
duke		O
qenë		O
pronarë		O
"		O
,		O
tha		O
zoti		O
Rama		B-PER
pak		O
ditë		O
më		O
parë		O
.		O
