Koncert		B-EVENT
simfonik		I-EVENT
me		O
muzikë		O
shqiptare		O
dhe		O
jo		O
vetëm		O
27		B-DATE_0
/		I-DATE_0
01		I-DATE_0
/		I-DATE_0
2024		I-DATE_0
Orkestra		O
Simfonike		O
e		O
Radio		B-ORG
Televizionit		I-ORG
Shqiptar		I-ORG
në		O
vijim		O
te		O
stinës		O
koncertore		O
për		O
vitin		B-DATE_0
2024		I-DATE_0
ka		O
ardhur		O
me		O
një		O
koncert		O
të		O
veçantë		O
.		O
Me		O
një		O
program		O
të		O
larmishëm		O
me		O
vepra		O
nga		O
kompozitori		O
shqiptar		O
Ndriçim		B-PER
Shani		I-PER
me		O
"		O
valle		O
simfonike		O
nr		O
2		O
"		O
e		O
cila		O
është		O
një		O
vepër		O
origjinale		O
e		O
mbështetur		O
në		O
tabanin		O
kombëtar		O
ku		O
shprehet		O
ideja		O
e		O
valleve		O
të		O
bukura		O
shqiptare		O
herë		O
lirike		O
e		O
herë		O
epike		O
ku		O
kompozitori		O
ka		O
dashur		O
të		O
shprehë		O
gëzim		O
në		O
çdo		O
familje		O
shqiptare		O
ku		O
ka		O
festë		O
.		O
Koncerti		O
ka		O
vijuar		O
me		O
koncert		O
për		O
piano		O
nga		O
Franc		B-PER
List		I-PER
dhe		O
"		O
simfomia		O
nr		O
4		O
"		O
nga		O
Brams		B-PER
.		O
Solist		O
i		O
këtij		O
koncerti		O
ka		O
qenë		O
pianisti		O
Kostandin		B-PER
Tashko		I-PER
i		O
cili		O
me		O
lojën		O
e		O
tij		O
virtuoze		O
ka		O
bërë		O
për		O
vete		O
publikun		O
artdashës		O
.		O
