28		B-DATE_0
/		I-DATE_0
07		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Akademia		O
e		O
Shkencave		O
e		O
Shqipërisë		B-VEND_1
ndau		O
të		O
premten		O
një		O
artikull		O
të		O
"		O
Science		O
"		O
,		O
që		O
konfirmon		O
se		O
shqipja		O
është		O
një		O
ndër		O
tri		O
gjuhët		O
më		O
të		O
vjetra		O
indo-europiane		O
që		O
fliten		O
ende		O
.		O
"		O
Në		O
mënyrë		O
të		O
përmbledhur		O
,		O
referuar		O
këtij		O
studimi		O
rezulton		O
se		O
gjuhët		O
e		O
familjes		O
indo-europiane		O
fliten		O
nga		O
pothuajse		O
gjysma		O
e		O
popullsisë		O
së		O
botës		O
,		O
por		O
origjina		O
e		O
tyre		O
dhe		O
modelet		O
e		O
përhapjes		O
janë		O
të		O
diskutueshme		O
"		O
bëhet		O
e		O
ditur		O
në		O
njoftimin		O
e		O
Akademisë		O
së		O
Shkencave		O
të		O
Shqipërisë		B-VEND_1
.		O
