Gjirokastra		B-VEND_0
qyteti		O
i		O
festivaleve		O
,		O
sheshi		B-SHESH
i		I-SHESH
Çerçizit		I-SHESH
gumëzhin		O
nga		O
muzika		O
moderne		O
25		B-DATE_0
/		I-DATE_0
06		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Ana		B-PER
tjetër		O
e		O
Festivalit		O
Folklorik		O
Kombëtar		O
janë		O
koncertet		O
me		O
këngëtarë		O
të		O
ftuar		O
të		O
muzikës		O
moderne		O
që		O
ngjiten		O
çdo		O
natë		O
në		O
një		O
skenë		O
gjigande		O
ngritur		O
në		O
qendër		O
të		O
Sheshit		B-SHESH
të		I-SHESH
Çerçizit		I-SHESH
.		O
Natyrisht		O
,		O
këto		O
koncerte		O
nuk		O
kanë		O
për		O
qëllim		O
që		O
modernia		O
të		O
sfidojë		O
tradicionalen		O
,		O
por		O
për		O
të		O
dëshmuar		O
se		O
krijimtaria		O
muzikore		O
bashkohore		O
bashkëjeton		O
dhe		O
buron		O
pikërisht		O
tek		O
muzika		O
tradicionale		O
,		O
sado		O
arkaike		O
të		O
duket		O
krijimtaria		O
foklorike		O
.		O
Ndërkohë		O
fansat		O
e		O
foklorit		O
dhe		O
Dren		B-PER
Abazit		I-PER
janë		O
të		O
shumtë		O
dhe		O
vinë		O
nga		O
shume		O
larg		O
.		O
Publiku		O
këndoi		O
dhe		O
kërceu		O
bashkë		O
me		O
këngëtarët		O
.		O
Të		O
ftuar		O
gjatë		O
7		O
netëve		O
të		O
tjera		O
të		O
festivalit		O
foklorik		O
janë		O
grupe		O
dhe		O
këngëtarë		O
të		O
tjerë		O
të		O
mirënjohur		O
,		O
si		O
:		O
Orkestra		O
italiane		O
e		O
Renzo		B-PER
Arbores		I-PER
,		O
këngëtari		O
Vllatko		B-PER
Stefanovski		I-PER
nga		O
Maqedonia		B-VEND_1
e		O
Veriut		O
,		O
Cabaret		O
Musical		O
nga		O
Franca		B-VEND_1
,		O
Eneda		B-PER
Tarifa		I-PER
,		O
Marsela		B-PER
Çibukaj		I-PER
,		O
Eranda		B-PER
Libohova		I-PER
,		O
Andi		B-PER
Kongo		I-PER
,		O
Ylli		B-PER
Baka		I-PER
,		O
Era		B-PER
Rusi		I-PER
,		O
Endri		B-PER
dhe		O
Stefi		B-PER
Band		O
,		O
etj		O
.		O
Gazetar		O
Norel		B-PER
Zaimi		I-PER
