ITALI		B-VEND_1
–		O
Meloni		B-PER
shtyn		O
konferencën		O
për		O
shtyp		O
të		O
fundvitit		O
ROMË		B-VEND_0
,		O
29		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-ANSA		O
/		O
–		O
Konferenca		O
për		O
shtyp		O
e		O
fundvitit		O
e		O
kryeministres		O
italiane		O
Giorgia		B-PER
Meloni		I-PER
do		O
të		O
mbahet		O
më		O
4		B-DATE_0
janar		I-DATE_0
në		O
orën		O
11:00		O
,		O
në		O
marrëveshje		O
me		O
Shoqatën		O
e		O
Gazetarëve		O
,		O
bënë		O
të		O
ditur		O
bashkëpunëtorët		O
e		O
kryeministres		O
duke		O
sqaruar		O
se		O
kryeministrja		O
po		O
e		O
merr		O
veten		O
pas		O
një		O
problemi		O
otoliti		O
.		O
Otoliti		O
e		O
detyron		O
Melonin		B-PER
të		O
qëndrojë		O
në		O
shtrat		O
dhe		O
në		O
errësirë		O
për		O
gati		O
dy		O
ditë		O
.		O
