TEL		B-VEND_0
AVIV		I-VEND_0
,		O
28		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-DPA		O
/		O
Gjatë		O
ditës		O
së		O
sotme		O
pati		O
shkëmbime		O
të		O
reja		O
zjarri		O
përgjatë		O
kufirit		O
midis		O
Izraelit		B-VEND_1
dhe		O
Libanit		B-VEND_1
.		O
Forcat		B-ORG
e		I-ORG
Mbrojtjes		I-ORG
së		I-ORG
Izraelit		I-ORG
(		I-ORG
IDF		I-ORG
)		O
raportuan		O
sulme		O
të		O
shumta		O
me		O
raketa		B-PRO
nga		O
vendi		O
fqinj		O
drejt		O
vendeve		O
izraelite		O
.		O
Transmetuesi		O
izraelit		O
Channel		O
12		O
raportoi		O
lëshimin		O
e		O
50		O
raketave		B-PRO
nga		O
Libani		B-VEND_1
drejt		O
Izraelit		B-VEND_1
.		O
Disa		O
alarme		O
raketash		B-PRO
u		O
aktivizuan		O
në		O
Izraelin		B-VEND_1
verior		O
dhe		O
një		O
dron		B-PRO
nga		O
Libani		B-VEND_1
hyri		O
në		O
territorin		O
izraelit		O
dhe		O
u		O
rrëzua		O
,		O
sipas		O
IDF		B-ORG
.		O
"		O
Ushtria		O
izraelite		O
u		O
përgjigj		O
me		O
kundërsulme		O
në		O
vendet		O
e		O
lëshimit		O
të		O
raketave		B-PRO
dhe		O
në		O
infrastrukturën		O
terroriste		O
të		O
Hezbollahut		B-ORG
,		O
duke		O
përfshirë		O
një		O
kompleks		O
ushtarak		O
të		O
Hezbollahut		B-ORG
dhe		O
skuadra		O
terroriste		O
"		O
,		O
tha		O
IDF-ja		B-ORG
.		O
Hezbollahu		B-ORG
mori		O
përgjegjësinë		O
për		O
disa		O
sulme		O
ndaj		O
Izraelit		B-VEND_1
.		O
Ky		O
është		O
përshkallëzimi		O
më		O
serioz		O
që		O
nga		O
lufta		O
e		O
dytë		O
e		O
Libanit		B-VEND_1
në		O
vitin		B-DATE_0
2006		I-DATE_0
.		O
/		O
/		O
a.i		O
/		O
