GJERMANI		B-VEND_1
–		O
Dëmet		O
nga		O
moti		O
ekstrem		O
arrijnë		O
në		O
5,4		O
miliardë		O
dollarë		O
në		O
2023		O
BERLIN		B-VEND_0
,		O
28		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-DPA		O
/		O
–		O
Përmbytjet		O
,		O
breshri		O
dhe		O
ngjarje		O
të		O
tjera		O
ekstreme		O
të		O
motit		O
u		O
kanë		O
shkaktuar		O
kompanive		O
gjermane		O
të		O
sigurimeve		O
humbje		O
me		O
vlerë		O
4,9		O
miliardë		O
euro		O
(		O
5,4		O
miliardë		O
dollarë		O
)		O
në		O
2023		O
,		O
ose		O
paraprakisht		O
900		O
milionë		O
euro		O
më		O
shumë		O
se		O
në		O
vitin		B-DATE_0
2022		I-DATE_0
,		O
njoftoi		O
sot		O
Shoqata		B-ORG
Gjermane		I-ORG
e		I-ORG
Sigurimeve		I-ORG
(		I-ORG
GDV		I-ORG
)		I-ORG
.		O
"		O
Për		O
fat		O
të		O
keq		O
,		O
ato		O
janë		O
mjaft		O
të		O
qëndrueshme		O
në		O
nivelin		O
e		O
lartë		O
të		O
mesatares		O
afatgjatë		O
prej		O
4,9		O
miliardë		O
eurosh		O
"		O
,		O
tha		O
drejtori		O
menaxhues		O
i		O
GDV		B-ORG
,		O
Jörg		B-PER
Asmussen		I-PER
.		O
"		O
Në		O
gusht		O
,		O
stuhitë		O
shkaktuan		O
dëme		O
që		O
arrijnë		O
në		O
1,5		O
miliardë		O
euro		O
,		O
pothuajse		O
një		O
e		O
treta		O
e		O
totalit		O
.		O
Stuhitë		O
u		O
ndezën		O
gjithashtu		O
në		O
qershor		O
,		O
duke		O
shkaktuar		O
qindra		O
milionë		O
euro		O
dëme		O
"		O
,		O
tha		O
GDV		B-ORG
.		O
Përmbytjet		O
dhe		O
stuhitë		O
e		O
tjera		O
përbënin		O
900		O
milionë		O
euro		O
,		O
më		O
pak		O
se		O
mesatarja		O
.		O
