SHBA		B-VEND_1
–		O
"		O
New		O
York		O
Times		O
"		O
padit		O
OpenAI		B-ORG
dhe		O
Microsoft		B-ORG
për		O
shkelje		O
të		O
të		O
drejtave		O
të		O
autorit		O
NJU		B-VEND_0
JORK		I-VEND_0
,		O
28		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-DPA		O
/		O
–		O
Gazeta		O
amerikane		O
"		O
The		O
New		O
York		O
Times		O
"		O
po		O
padit		O
Microsoft		B-ORG
dhe		O
OpenAI		B-ORG
,		O
kompania		O
që		O
qëndron		O
pas		O
chatbotit		O
të		O
njohur		O
të		O
inteligjencës		O
artificiale		O
(		O
AI		O
)		O
ChatGPT		O
,		O
duke		O
pretenduar		O
shkelje		O
të		O
të		O
drejtave		O
të		O
autorit		O
,		O
mbi		O
atë		O
që		O
pretendon		O
se		O
është		O
përdorimi		O
i		O
paautorizuar		O
i		O
punës		O
së		O
saj		O
të		O
publikuar		O
për		O
të		O
trajnuar		O
IA		O
.		O
NYT		O
paraqiti		O
dje		O
një		O
padi		O
në		O
Nju		B-VEND_0
Jork		I-VEND_0
,		O
duke		O
pretenduar		O
se		O
kompanitë		O
përdorën		O
në		O
mënyrë		O
të		O
paligjshme		O
punën		O
e		O
gazetës		O
për		O
të		O
krijuar		O
produkte		O
të		O
inteligjencës		O
artificiale		O
që		O
tani		O
konkurrojnë		O
me		O
të		O
.		O
"		O
Nëpërmjet		O
Bing		O
Chat		O
të		O
Microsoft		B-ORG
(		O
i		O
riemërtuar		O
së		O
fundmi		O
si		O
"		O
Copilot		O
"		O
)		O
dhe		O
ChatGPT		O
të		O
OpenAI		B-ORG
,		O
të		O
pandehurit		O
kërkojnë		O
të		O
përdorin		O
investimin		O
masiv		O
të		O
The		O
Times		O
në		O
gazetarinë		O
e		O
saj		O
duke		O
e		O
përdorur		O
atë		O
për		O
të		O
ndërtuar		O
produkte		O
zëvendësuese		O
pa		O
leje		O
apo		O
pagesë		O
"		O
,		O
thuhet		O
në		O
padi		O
.		O
Faqja		O
e		O
internetit		O
e		O
lajmeve		O
teknologjike		O
"		O
The		O
Verge		O
"		O
citoi		O
zëdhënësen		O
e		O
OpenAI		B-ORG
,		O
Lindsey		B-PER
Held		I-PER
të		O
thoshte		O
në		O
një		O
deklaratë		O
të		O
dërguar		O
me		O
email		O
se		O
"		O
bisedat		O
e		O
vazhdueshme		O
me		O
'New		O
York		O
Times'		O
kanë		O
qenë		O
produktive		O
dhe		O
kanë		O
ecur		O
përpara		O
në		O
mënyrë		O
konstruktive		O
,		O
kështu		O
që		O
ne		O
jemi		O
të		O
befasuar		O
dhe		O
të		O
zhgënjyer		O
me		O
këtë		O
zhvillim		O
"		O
.		O
"		O
Ne		O
shpresojmë		O
se		O
do		O
të		O
gjejmë		O
një		O
mënyrë		O
reciproke		O
të		O
dobishme		O
për		O
të		O
punuar		O
së		O
bashku		O
,		O
siç		O
po		O
bëjmë		O
me		O
shumë		O
botues		O
të		O
tjerë		O
"		O
,		O
vazhdoi		O
Held		B-PER
,		O
sipas		O
"		O
The		O
Verge		O
"		O
.		O
Start-up		O
kalifornian		O
OpenAI		B-ORG
tërhoqi		O
vëmendjen		O
e		O
botës		O
me		O
robotin		O
e		O
tij		O
të		O
tekstit		O
ChatGPT		O
–		O
i		O
zhvilluar		O
me		O
mbështetjen		O
e		O
Microsoft		B-ORG
–		O
i		O
cili		O
mund		O
t'u		O
përgjigjet		O
kërkesave		O
me		O
ese		O
,		O
poezi		O
,		O
kode		O
kompjuterike		O
dhe		O
përmbajtje		O
të		O
tjera		O
.		O
Publikimi		O
i		O
tij		O
në		O
vitin		B-DATE_0
2022		I-DATE_0
hodhi		O
në		O
qendër		O
të		O
vëmendjes		O
përparimet		O
në		O
AI		O
dhe		O
ndezi		O
diskutimet		O
rreth		O
pasojave		O
të		O
mundshme		O
.		O
/		O
a.jor		O
.		O
