Berisha		B-PER
ka		O
dy		O
vjet		O
që		O
i		O
mban		O
me		O
gënjeshtra		O
mbështetësit		O
e		O
tij		O
për		O
t'i		O
përdorur		O
si		O
mburojë		O
ndaj		O
halleve		O
me		O
drejtësinë		O
me		O
SHBA		B-VEND_1
apo		O
me		O
Britaninë		B-VEND_1
e		I-VEND_1
Madhe		I-VEND_1
.		O
"		O
Sado		O
të		O
mundohen		O
,		O
sado		O
të		O
investojnë		O
në		O
mediet		O
e		O
tyre		O
me		O
paratë		O
e		O
krimit		O
dhe		O
korrupsionit		O
për		O
të		O
shpërndarë		O
lajme		O
të		O
rreme		O
,		O
aleanca		O
e		O
kullave		O
Rama-Berisha		B-PER
nuk		O
do		O
ta		O
mbajnë		O
dot		O
peng		O
PD-në.		B-ORG
PD		B-ORG
pret		O
që		O
me		O
shpejtësi		O
dhe		O
pa		O
vonesë		O
gjykata		O
e		O
Apelit		O
të		O
shqyrtojë		O
këtë		O
çështje		O
për		O
të		O
mbyllur		O
njëherë		O
e		O
mirë		O
diskutimet		O
rreth		O
PD-së		B-ORG
"		O
,		O
shtoi		O
ajo		O
.		O
