PRISHTINË		B-VEND_0
,		O
27		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
-		O
Mbi		O
1.2		O
miliardë		O
euro		O
është		O
vlera		O
dërgesave		O
të		O
emigrantëve		O
që		O
kanë		O
sjell		O
në		O
Kosovë		B-VEND_1
deri		O
në		O
muajin		O
nëntor		B-DATE_0
2023		I-DATE_0
,		O
duke		O
shënuar		O
rritje		O
prej		O
10.2		O
%		O
krahasuar		O
me		O
periudhën		O
e		O
njëjtë		O
të		O
vitit		O
paraprak		O
.		O
Kështu		O
thuhet		O
në		O
statistikat		O
e		O
remitancave		O
dhe		O
institucioneve		O
tjera		O
financiare		O
për		O
muajin		O
nëntor		B-DATE_0
2023		I-DATE_0
,		O
të		O
publikuara		O
nga		O
Banka		B-ORG
Qendrore		I-ORG
e		I-ORG
Kosovës		I-ORG
(		I-ORG
BQK		I-ORG
)		I-ORG
,		O
duke		O
shtuar		O
se		O
vlera		O
e		O
tyre		O
,		O
sipas		O
vlerësimeve		O
,		O
ishin		O
101.3		O
milionë		O
euro		O
.		O
Për		O
sa		O
i		O
përket		O
aseteve		O
të		O
kompanive		O
të		O
sigurimit		O
,		O
BQK-ja		B-ORG
tregon		O
se		O
deri		O
në		O
këtë		O
muaj		O
vlera		O
e		O
tyre		O
ishte		O
300.6		O
milionë		O
eurove		O
dhe		O
është		O
rritje		O
prej		O
rreth		O
200		O
mijë		O
euro		O
krahasuar		O
në		O
tetor		B-DATE_0
2023		I-DATE_0
.		O
Në		O
fund		O
,		O
BQK-ja		B-ORG
tregon		O
se		O
asetet		O
e		O
ndërmjetësve		O
tjerë		O
financiar		O
në		O
fund		O
të		O
muajit		O
nëntor		O
janë		O
rritur		O
për		O
2.8		O
milionë		O
euro		O
,		O
krahasuar		O
me		O
muajin		O
paraprak		O
duke		O
arritur		O
vlerën		O
e		O
499.4		O
milionë		O
eurove		O
.		O
