TIRANE		B-VEND_0
,		O
25		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Besimtarët		O
katolikë		O
e		O
ortodoksë		O
festojnë		O
sot		O
Krishtlindjen		O
,		O
ditën		O
e		O
shënuar		O
të		O
lindjes		O
së		O
Jezu		O
Krishtit		O
,		O
e		O
cila		O
kremtohet		O
në		O
gjithë		O
botën		O
.		O
Në		O
Shqipëri		B-VEND_1
,		O
Krishtlindja		O
rinisi		O
të		O
festohet		O
pas		O
viteve		B-DATE_0
'90-të		I-DATE_0
,		O
kur		O
u		O
lejua		O
besimi		O
fetar		O
,		O
i		O
ndaluar		O
nga		O
diktatura		O
.		O
Darka		O
e		O
Krishtlindjeve		O
paraprihet		O
nga		O
një		O
ditë		O
agjërimi		O
,		O
gjatë		O
së		O
cilës		O
përgatiten		O
ushqimet		O
që		O
do		O
të		O
serviren		O
në		O
mbrëmjen		O
e		O
festës		O
.		O
