UKRAINË		B-VEND_1
–		O
Ushtria		O
shmang		O
sulmet		O
ruse		O
në		O
lindje		O
të		O
vendit		O
KIEV		B-VEND_0
,		O
24		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-DPA		O
/		O
–		O
Ushtria		O
ukrainase		O
ka		O
shmangur		O
sulmet		O
e		O
reja		O
ruse		O
në		O
qytetin		O
lindor		O
të		O
Avdiivka		B-VEND_0
,		O
në		O
rajonin		O
e		O
Donetskut		B-VEND_0
dhe		O
në		O
bregun		O
e		O
majtë		O
të		O
lumit		O
Dnipro		O
,		O
njoftoi		O
shtabi		O
i		O
përgjithshëm		O
ukrainas		O
.		O
Forcat		O
ruse		O
po		O
vazhdojnë		O
të		O
përpiqen		O
të		O
rrethojnë		O
Avdiivka		B-VEND_0
,		O
një		O
qytet		O
industrial		O
,		O
popullsia		O
e		O
të		O
cilit		O
kryesisht		O
është		O
larguar		O
.		O
Shtabi		O
i		O
përgjithshëm		O
ukrainas		O
tha		O
gjithashtu		O
se		O
përpjekjet		O
ruse		O
për		O
të		O
zhvendosur		O
forcat		O
ukrainase		O
që		O
kanë		O
kaluar		O
Dnipro		B-VEND_0
në		O
rajonin		O
jugor		O
të		O
Khersonit		B-VEND_0
kishin		O
dështuar		O
.		O
Forcat		O
ajrore		O
ukrainase		O
raportuan		O
rrëzimin		O
e		O
shumë		O
dronëve		B-PRO
rusë		O
.		O
/		O
a.jor		O
.		O
