MILANO		B-VEND_0
,		O
23		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-ANSA		O
/		O
–		O
Përdorimi		O
i		O
saktë		O
i		O
antibiotikëve		O
mbetet		O
një		O
temë		O
pak		O
e		O
njohur		O
dhe		O
ka		O
shumë		O
besime		O
të		O
gabuara		O
.		O
Sipas		O
Organizatës		B-ORG
Botërore		I-ORG
të		I-ORG
Shëndetësisë		I-ORG
,		O
më		O
shumë		O
se		O
670		O
mijë		O
infeksione		O
nga		O
mikrobet		O
rezistente		O
ndaj		O
antibiotikëve		O
ndodhin		O
në		O
Evropë		O
çdo		O
vit		O
,		O
duke		O
shkaktuar		O
rreth		O
33		O
mijë		O
vdekje		O
.		O
