IZRAEL		B-VEND_1
–		O
IDF		B-ORG
:		O
Dhjetra		O
luftëtarë		O
të		O
Hamasit		B-ORG
të		O
vrarë		O
,		O
bomba		O
të		O
gjetura		O
edhe		O
në		O
çerdhet		O
e		O
Gazës		B-VEND_0
TEL		B-VEND_0
AVIV		I-VEND_0
,		O
23		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-DPA		O
/		O
–		O
Dhjetra		O
luftëtarë		O
të		O
Hamasit		B-ORG
u		O
vranë		O
pasi		O
një		O
ndërtesë		O
,		O
ku		O
ata		O
ishin		O
strehuar		O
në		O
Rripin		O
e		O
Gazës		B-VEND_0
u		O
sulmua		O
nga		O
ajri		O
,		O
njoftuan		O
sot		O
Forcat		B-ORG
e		I-ORG
Mbrojtjes		I-ORG
të		I-ORG
Izraelit		I-ORG
(		I-ORG
IDF		I-ORG
)		I-ORG
.		O
"		O
Trupat		O
tokësore		O
të		O
IDF		B-ORG
kishin		O
hapur		O
më		O
parë		O
zjarr		O
ndaj		O
grupit		O
duke		O
i		O
detyruar		O
ata		O
të		O
hynin		O
në		O
ndërtesë		O
"		O
,		O
thuhet		O
në		O
raport		O
.		O
"		O
Ndërtesa		O
të		O
tjera		O
në		O
afërsi		O
që		O
po		O
përdoreshin		O
gjithashtu		O
nga		O
Hamasi		B-ORG
u		O
shkatërruan		O
"		O
,		O
tha		O
IDF		B-ORG
.		O
"		O
Luftëtarët		O
e		O
armatosur		O
të		O
Hamasit		B-ORG
u		O
ndeshën		O
diku		O
tjetër		O
në		O
Rripin		O
e		O
Gazës		B-VEND_0
"		O
,		O
thuhet		O
në		O
raport		O
.		O
Forcat		O
izraelite		O
gjetën		O
gjithashtu		O
bomba		O
mortajash		O
,		O
eksplozivë		O
dhe		O
raketa		B-PRO
në		O
një		O
çerdhe		O
në		O
jug		O
.		O
IDF		B-ORG
akuzon		O
Hamasin		B-ORG
për		O
mbrojtjen		O
e		O
civilëve		O
,		O
një		O
akuzë		O
që		O
organizata		O
terroriste		O
e		O
mohon		O
.		O
/		O
a.jor		O
.		O
