LONDER		B-VEND_0
,		O
22		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-AA		O
/		O
–		O
Hakeri		O
Arion		B-PER
Kurtaj		I-PER
,		O
i		O
cili		O
shpërndau		O
në		O
mënyrë		O
të		O
paligjshme		O
në		O
internet		O
imazhet		O
e		O
videolojës		O
GTA		O
VI		O
,		O
e		O
cila		O
pritet		O
të		O
publikohet		O
në		O
Britani		B-VEND_1
të		I-VEND_1
Madhe		I-VEND_1
në		O
vitet		O
e		O
ardhshme		O
,		O
është		O
dënuar		O
me		O
një		O
dënim		O
spitalor		O
pa		O
afat		O
,		O
transmeton		O
Anadolu		O
.		O
Sipas		O
lajmit		O
të		O
BBC		O
,		O
gjyqtari		O
deklaroi		O
se		O
dëshira		O
dhe		O
aftësia		O
e		O
Kurtajt		B-PER
për		O
të		O
kryer		O
krime		O
kibernetike		O
është		O
rrezik		O
për		O
publikun		O
dhe		O
e		O
dënoi		O
Kurtajn		B-PER
me		O
dënim		O
spitalor		O
pa		O
afat		O
.		O
Mësohet		O
se		O
Kurtaj		B-PER
do		O
të		O
qëndrojë		O
në		O
spital		O
derisa		O
të		O
konstatohet		O
se		O
është		O
një		O
individ		O
i		O
shëndoshë		O
që		O
nuk		O
përbën		O
rrezik		O
për		O
shoqërinë		O
.		O
Kurtaj		B-PER
,		O
anëtar		O
i		O
grupit		O
të		O
hakerëve		O
"		O
Lapsus		O
$		O
"		O
gjatë		O
kontrolleve		O
të		O
tij		O
shëndetësore		O
deklaroi		O
se		O
"		O
dëshiron		O
t'i		O
kthehet		O
kryerjes		O
së		O
krimit		O
kibernetik		O
sa		O
më		O
shpejt		O
të		O
jetë		O
e		O
mundur		O
"		O
.		O
Rockstar		B-ORG
,		O
kompania		O
që		O
posedon		O
videolojën		O
GTA		O
VI		O
,		O
tha		O
në		O
gjykatë		O
se		O
aktivitetet		O
e		O
Kurtajt		B-PER
u		O
shkaktuan		O
atyre		O
humbje		O
prej		O
5		O
milionë		O
dollarësh		O
.		O
Edhe		O
pse		O
i		O
është		O
konfiskuar		O
laptopi		O
,		O
Kurtaj		B-PER
vodhi		O
90		O
imazhe		O
GTA		O
VI		O
nga		O
Rockstar		B-ORG
me		O
pajisjen		O
e		O
tij		O
Amazon		B-PRO
Firestick		I-PRO
dhe		O
celularin		B-PRO
dhe		O
i		O
publikoi		O
në		O
rrjetet		O
sociale		O
.		O
Kurtaj		B-PER
,		O
i		O
cili		O
depërtoi		O
në		O
sistemin		O
e		O
mesazheve		O
Slack		O
të		O
përdorur		O
nga		O
kompania		O
tha		O
se		O
:		O
"		O
Nëse		O
Rockstar		B-ORG
nuk		O
më		O
kontakton		O
përmes		O
Telegramit		B-ORG
brenda		O
24		O
orëve		O
,		O
unë		O
do		O
të		O
publikoj		O
kodet		O
e		O
lojës		O
"		O
.		O
Pamjet		O
e		O
publikuara		O
nga		O
Kurtaj		B-PER
janë		O
ndjekur		O
nga		O
128		O
milionë		O
njerëz		O
në		O
4		O
ditë		O
.		O
