TIRANË		B-VEND_0
,		O
22		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Në		O
një		O
konferencë		O
për		O
shtyp		O
online		O
duke		O
iu		O
përgjigjur		O
vendimit		O
të		O
Gjykatës		B-ORG
Evropiane		I-ORG
të		I-ORG
Drejtësisë		I-ORG
(		I-ORG
ECJ		I-ORG
)		I-ORG
të		O
së		B-DATE_1
enjtes		I-DATE_1
,		O
presidenti		O
i		O
UEFA-s		B-ORG
,		O
Aleksander		B-PER
Čeferin		I-PER
dhe		O
aktorët		O
kryesorë		O
që		O
përfaqësojnë		O
të		O
gjithë		O
komunitetin		O
e		O
futbollit		O
,		O
nënvizuan		O
kundërshtimin		O
e		O
tyre		O
të		O
bashkuar		O
ndaj		O
të		O
ashtuquajturës		O
Super		B-EVENT
Ligë		I-EVENT
Evropiane		I-EVENT
(		I-EVENT
ESL		I-EVENT
)		I-EVENT
.		O
Ja		O
deklarata		O
e		O
Presidentit		O
të		O
UEFA-s		B-ORG
në		O
konferencë		O
:		O
