Kosovë-Serbi		B-VEND_1
,		O
Rama		B-PER
:		O
Qëndrimi		O
ynë		O
i		O
qartë		O
,		O
nuk		O
ka		O
pasur		O
asnjëherë		O
luhatje		O
TIRANË		B-VEND_0
,		O
30		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Kryeministri		O
Edi		B-PER
Rama		I-PER
në		O
konferencën		O
për		O
shtyp		O
deklaroi		O
sot		O
se		O
"		O
kemi		O
qenë		O
shumë		O
të		O
qartë		O
edhe		O
për		O
këtë		O
kemi		O
kërkuar		O
haptazi		O
që		O
Serbia		B-VEND_1
duhet		O
sanksionuar		O
dhe		O
Kosovës		B-VEND_1
i		O
duhen		O
hequr		O
masat		O
shtrënguese		O
sepse		O
Kosova		B-VEND_1
e		O
ka		O
bërë		O
hapin		O
që		O
duhet		O
ta		O
kishte		O
bërë		O
me		O
kohë		O
,		O
por		O
e		O
ka		O
bërë		O
"		O
.		O
"		O
Nuk		O
ka		O
asnjë		O
sens		O
që		O
Kosovës		B-VEND_1
t'i		O
mbahen		O
pasojat		O
shtrënguese		O
dhe		O
Serbia		B-VEND_1
të		O
mos		O
ketë		O
asnjë		O
pasojë		O
shtrënguese		O
pas		O
aktit		O
terrorist		O
në		O
Banjskë		B-VEND_0
"		O
,		O
tha		O
Rama		B-PER
.		O
I		O
pyetur		O
për		O
marrëdhënien		O
me		O
Presidentin		O
e		O
Serbisë		O
,		O
Aleksandar		B-PER
Vuçiç		I-PER
,		O
Rama		B-PER
tha		O
se		O
"		O
është		O
një		O
marrëdhënie		O
që		O
nuk		O
ka		O
asgjë		O
tjetër		O
përveç		O
interesit		O
të		O
Shqipërisë		B-VEND_1
dhe		O
interesit		O
të		O
rajonit		O
"		O
.		O
"		O
Natyrisht		O
që		O
është		O
një		O
marrëdhënie		O
që		O
nuk		O
më		O
pengon		O
mua		O
dhe		O
nuk		O
na		O
pengon		O
ne		O
që		O
ti		O
themi		O
të		O
bardhës		O
të		O
bardhë		O
dhe		O
të		O
zezës		O
të		O
zezë		O
.		O
Qëndrimi		O
ynë		O
ka		O
qenë		O
shumë		O
i		O
qartë		O
dhe		O
nuk		O
ka		O
pasur		O
asnjëherë		O
luhatje		O
qoftë		O
kur		O
ka		O
qenë		O
rasti		O
për		O
të		O
thënë		O
me		O
zë		O
të		O
lartë		O
se		O
Serbia		B-VEND_1
nuk		O
duhej		O
sanksionuar		O
si		O
rezultat		O
i		O
mossanksionimit		O
të		O
Rusisë		B-VEND_1
se		O
kjo		O
do		O
të		O
sillte		O
pasoja		O
të		O
rrezikshme		O
për		O
rajonin		O
ashtu		O
edhe		O
kur		O
Serbia		B-VEND_1
bëri		O
një		O
akt		O
flagrant		O
kundër		O
gjithë		O
vlerave		O
europiane		O
dhe		O
të		O
bashkëjetesës		O
me		O
shpalljen		O
e		O
zisë		O
për		O
kriminelët		O
e		O
Banjskës		B-VEND_0
dhe		O
për		O
vetë		O
aktin		O
e		O
terrorit		O
në		O
Banjskë		B-VEND_0
"		O
,		O
nënvizoi		O
Rama		B-PER
.		O
