Elda		B-PER
Hyseni		I-PER
,		O
ka		O
përfunduar		O
studimet		O
e		O
larta		O
për		O
Sociologji		O
dhe		O
pas		O
përmbylljes		O
me		O
sukses		O
të		O
intervistës		O
së		O
punës		O
dhe		O
trajnimit		O
1		O
mujor		O
në		O
Akademinë		O
e		O
Sigurisë		O
i		O
është		O
besuar		O
këtë		O
fillim		O
jave		O
pozicioni		O
i		O
punes		O
së		O
oficeres		O
së		O
sigurisë		O
në		O
shkollën		O
9-vjeçare		O
"		O
Vasil		O
Shanto		O
"		O
.		O
E		O
veshur		O
civile		O
,		O
dhe		O
e		O
gatshme		O
për		O
të		O
zgjidhur		O
çdo		O
situatë		O
problematike		O
,		O
26		O
vjeçaren		O
e		O
gjen		O
kudo		O
mes		O
nxënësve		O
në		O
oborr		O
,		O
korridor		O
e		O
klasa		O
.		O
Në		O
2		O
ditët		O
e		O
para		O
të		O
punës		O
i		O
është		O
dashur		O
të		O
mbledhë		O
informacion		O
për		O
të		O
evidentuar		O
nxënësit		O
që		O
konsiderohen		O
më		O
problematike		O
.		O
Një		O
