RTSH		B-ORG
u		O
interesua		O
në		O
kancelaritë		O
dhe		O
tregjet		O
e		O
kryeqytetit		O
.		O
Duke		O
marrë		O
çmimin		O
mesatar		O
të		O
çdo		O
produkti		O
dhe		O
rezulton		O
se		O
për		O
një		O
fëmijë		O
,		O
prindërit		O
duhet		O
të		O
shpenzojnë		O
rreth		O
15		O
mijë		O
lekë		O
.		O
Deri		O
në		O
fund		O
të		O
kësaj		O
jave		O
,		O
parashikohet		O
që		O
të		O
gjithë		O
nxënësit		O
të		O
jenë		O
pajisur		O
me		O
të		O
gjithë		O
tekstet		O
shkollor		O
dhe		O
familjaret		O
të		O
bëjnë		O
të		O
gjitha		O
blerjet		O
e		O
nevojshme		O
përsa		O
i		O
takon		O
artikujve		O
shkollor		O
me		O
qellim		O
që		O
gjithçka		O
të		O
jetë		O
gati		O
me		O
12		B-DATE_0
shtator		I-DATE_0
kur		O
dhe		O
do		O
të		O
nis		O
viti		O
i		O
ri		O
shkollor		O
.		O
