Ajarn		B-PER
Manas		I-PER
,		O
46-vjeç		O
,		O
ishte		O
nisur		O
në		O
një		O
udhëtim		O
,		O
kur		O
u		O
fut		O
në		O
shpellën		O
Pra		O
Sai		O
Ngam		O
,		O
në		O
Pitsanulok		B-VEND_0
,		O
brenda		O
së		O
cilës		O
tentoi		O
të		O
meditojë		O
.		O
Papritmas		O
në		O
vend		O
kishin		O
filluar		O
reshjet		O
e		O
shiut		O
,		O
e		O
sasia		O
e		O
madhe		O
e		O
ujit		O
mbushi		O
shpellën		O
në		O
të		O
cilën		O
ishte		O
murgu		O
.		O
Kujtojmë		O
që		O
një		O
dramë		O
e		O
ngjashme		O
kishte		O
ndodhur		O
në		O
vitin		B-DATE_0
2018		I-DATE_0
në		O
Tajlandë		B-VEND_1
,		O
kur		O
në		O
një		O
shpellë		O
në		O
veri		O
të		O
vendit		O
mbetën		O
të		O
ngujuar		O
12		O
djem		O
,		O
futbollist		O
të		O
rinj		O
dhe		O
trajneri		O
i		O
tyre		O
.		O
