Egjipti		B-VEND_1
ështlë		O
përfshirë		O
në		O
një		O
seri		O
ngjarjesh		O
të		O
rënda		O
,		O
përfshirë		O
kaosin		O
e		O
krijuar		O
në		O
kanalin		O
e		O
Suezit		O
dhe		O
përplasjen		O
e		O
dy		O
trenave		O
që		O
mori		O
32		O
jetë		O
njerëzish		O
.		O
Për		O
disa		O
këto		O
janë		O
të		O
ngjashme		O
me		O
mallkimin		O
e		O
një		O
faraoni		O
të		O
famshëm		O
.		O
Të		B-DATE_1
premten		I-DATE_1
,		O
përplasja		O
e		O
dy		O
trenave		O
të		O
pasagjerëve		O
solli		O
dhjetëra		O
të		O
vdekur		O
e		O
të		O
plagosur		O
në		O
Tahta		B-VEND_0
.		O
Ditën		O
pasuese		O
,		O
një		O
bllok		O
apartamentesh		O
u		O
shemb		O
papritur		O
duke		O
shkaktuar		O
vdekjen		O
e		O
18		O
personave		O
të		O
tjerë		O
.		O
Kjo		O
është		O
arsyeja		O
përse		O
shumë		O
përdorues		O
të		O
rrjeteve		O
sociale		O
mendojnë		O
se		O
bëhet		O
fjala		O
për		O
një		O
mallkim		O
të		O
shkuar		O
mbi		O
varrin		O
e		O
faraonit		O
.		O
