DANIMARKË		B-VEND_1
–		O
Mbretëresha		O
Margrethe		B-PER
II		I-PER
lë		O
fronin		O
KOPENHAGË		B-VEND_0
,		O
31		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-AFP		O
/		O
–		O
Mbretëresha		O
daneze		O
Margrethe		B-PER
II		I-PER
njoftoi		O
sot		O
gjatë		O
fjalimit		O
të		O
saj		O
tradicional		O
të		O
Vitit		O
të		O
Ri		O
se		O
do		O
të		O
abdikonte		O
më		O
14		B-DATE_0
janar		I-DATE_0
,		O
pas		O
52		O
vjetësh		O
mbretërimi		O
.		O
"		O
Më		O
14		B-DATE_0
janar		I-DATE_0
2024		I-DATE_0
,		O
52		O
vjet		O
pasi		O
pasova		O
babain		O
tim		O
të		O
dashur		O
,		O
do		O
të		O
largohem		O
si		O
mbretëreshë		O
e		O
Danimarkës		B-VEND_1
.		O
Do		O
t'ia		O
lë		O
fronin		O
djalit		O
tim		O
,		O
princit		O
të		O
kurorës		O
Frederik		B-PER
"		O
,		O
tha		O
ajo		O
me		O
rastin		O
e		O
urimeve		O
të		O
saj		O
televizive		O
.		O
Bashkuese		O
dhe		O
popullore		O
,		O
sovrania		O
,		O
e		O
ve		O
që		O
nga		O
viti		B-DATE_0
2018		I-DATE_0
,		O
i		O
ishte		O
nënshtruar		O
një		O
operacioni		O
të		O
madh		O
në		O
shpinë		O
në		O
shkurt		O
,		O
gjë		O
që		O
e		O
pengoi		O
atë		O
të		O
shfaqej		O
në		O
publik		O
deri		O
në		O
prill		O
.		O
Në		O
fron		O
që		O
nga		O
vdekja		O
e		O
babait		O
të		O
saj		O
në		B-DATE_0
1972		I-DATE_0
,		O
kjo		O
intelektuale		O
poliglote		O
kontribuoi		O
në		O
modernizimin		O
gradualisht		O
të		O
monarkisë		O
.		O
Që		O
nga		O
vdekja		O
e		O
kushërirës		O
së		O
saj		O
të		O
largët		O
Elizabeth		B-PER
II		I-PER
,		O
Margrethe		B-PER
është		O
mbretëresha		O
e		O
fundit		O
që		O
mbretëron		O
në		O
Evropë		O
.		O
"		O
Shumë		O
prej		O
nesh		O
nuk		O
kanë		O
njohur		O
kurrë		O
një		O
monark		O
tjetër		O
.		O
Mbretëresha		O
Margrethe		B-PER
është		O
vetë		O
mishërimi		O
i		O
Danimarkës		B-VEND_1
dhe		O
,		O
me		O
kalimin		O
e		O
viteve		O
,		O
ajo		O
ka		O
vënë		O
fjalë		O
dhe		O
ndjenja		O
për		O
atë		O
që		O
jemi		O
si		O
popull		O
dhe		O
si		O
komb		O
"		O
,		O
reagoi		O
kryeministrja		O
Mette		B-PER
Frederiksen		I-PER
në		O
një		O
mesazh		O
.		O
/		O
a.jor		O
.		O
