11		B-DATE_0
/		I-DATE_0
01		I-DATE_0
/		I-DATE_0
2024		I-DATE_0
"		O
Ne		O
nuk		O
e		O
dimë		O
me		O
siguri		O
se		O
si		O
e		O
bën		O
këtë		O
inteligjenca		O
artificiale		O
,		O
"		O
pranoi		O
Prof		O
Hod		B-PER
Lipson		I-PER
,		O
një		O
robotist		O
në		O
Universitetin		O
e		O
Kolumbias		O
që		O
mbikëqyri		O
studimin		O
.		O
Graham		B-PER
Williams		I-PER
,		O
profesor		O
i		O
shkencës		O
mjeko-ligjore		O
në		O
Universitetin		O
Hull		O
,		O
tha		O
se		O
ideja		O
e		O
gjurmëve		O
unike		O
të		O
gishtërinjve		O
nuk		O
ishte		O
vendosur		O
kurrë		O
në		O
gur		O
.		O
"		O
Ne		O
në		O
fakt		O
nuk		O
e		O
dimë		O
se		O
gjurmët		O
e		O
gishtërinjve		O
janë		O
unike		O
.		O
Gjithçka		O
që		O
mund		O
të		O
themi		O
është		O
se		O
për		O
aq		O
sa		O
jemi		O
në		O
dijeni		O
,		O
asnjë		O
dy		O
persona		O
nuk		O
kanë		O
treguar		O
ende		O
të		O
njëjtat		O
gjurmë		O
gishtash		O
"		O
.		O
