Gjirokastër		B-VEND_0
,		O
shpallen		O
fituesit		O
e		O
konkursit		O
kombëtar		O
"		O
Fatos		O
Baxhaku''		O
Një		O
vit		O
pas		O
shpalljes		O
së		O
konkursit		O
të		O
parë		O
kombëtar		O
"		O
Fatos		O
Baxhaku		O
"		O
me		O
temën		O
"		O
Media		O
lokale		O
për		O
çështjet		O
vendore		O
"		O
,		O
nga		O
Qendra		O
Kulturore		O
Mediatike		O
"		O
Antigonea		O
,		O
sot		O
u		O
organizua		O
ceremonia		O
e		O
shpalljes		O
së		O
fituesve		O
,		O
ku		O
çmimi		O
i		O
parë		O
shkoi		O
për		O
gazetaren		O
dhe		O
korrespodenten		O
e		O
NEWS-24		O
Brikena		B-PER
Metaj		I-PER
.		O
"		O
Për		O
mua		O
është		O
çmimi		O
i		O
parë		O
që		O
marr		O
si		O
gazetare.Jam		O
e		O
lumtur		O
që		O
nderohem		O
me		O
një		O
çmim		O
që		O
mban		O
emrin		O
e		O
të		O
madhit		O
Fatos		B-PER
Baxhaku		I-PER
.		O
Ka		O
qenë		O
një		O
model		O
shumë		O
i		O
mirë		O
për		O
mua		O
në		O
punën		O
time		O
si		O
gazetare		O
.		O
Nuk		O
pretendoj		O
ta		O
arrij		O
,		O
por		O
të		O
ndjek		O
rrugën		O
e		O
tij		O
"		O
-		O
u		O
shpreh		O
Brikena		B-PER
Me		O
një		O
çmim		O
të		O
posaçëm		O
,		O
atë		O
të		O
Karrieres		O
,		O
Qendra		B-ORG
Kulturore		I-ORG
Mediatike		I-ORG
Antigonea		I-ORG
nderoi		O
edhe		O
disa		O
gazetarë		O
me		O
eksperiencë		O
e		O
kontribut		O
në		O
gazetarinë		O
lokale		O
si		O
Ylli		B-PER
Musta		I-PER
,		O
Habip		B-PER
Jashari		I-PER
,		O
Vladimir		B-PER
Muçaj		I-PER
,		O
Kaliopi		B-PER
Bici		I-PER
,		O
Besim		B-PER
Dybeli		I-PER
,		O
Hysen		B-PER
Likdisha		I-PER
e		O
Yllka		B-PER
Ponde		I-PER
.		O
"		O
Është		O
një		O
kënaqësi		O
e		O
veçantë		O
që		O
ndodhem		O
mes		O
kolegëve		O
të		O
të		O
rinj		O
e		O
të		O
vjetër		O
,		O
por		O
dhjetëfish		O
i		O
privilegjuar		O
që		O
nderohem		O
me		O
çmimin		O
që		O
mban		O
emrin		O
e		O
gazetarit		O
Fatos		B-PER
Baxhaku		I-PER
.		O
Ka		O
qenë		O
shembull		O
miqësie		O
dhe		O
frymëzimi		O
në		O
punën		O
tonë		O
si		O
gazetarë		O
.		O
"		O
-		O
u		O
shpreh		O
Vladimir		B-PER
Muçaj		I-PER
.		O
Organizatori		O
i		O
këtij		O
eventi		O
Ëngjëll		B-PER
Serjani		I-PER
tha		O
se		O
synohet		O
që		O
ky		O
konkurs		O
të		O
kthehet		O
në		O
traditë		O
.		O
U		O
përcaktua		O
kjo		O
date		O
,		O
pikërisht		O
9		B-DATE_0
janari		I-DATE_0
për		O
zhvillimin		O
e		O
këtij		O
eventi		O
,		O
pasi		O
është		O
data		O
e		O
lindjes		O
së		O
një		O
prej		O
gazetarëve		O
më		O
të		O
admiruar		O
nga		O
lexuesi		O
e		O
publiku		O
shqiptar		O
,		O
e		O
kolegut		O
tonë		O
të		O
dashur		O
e		O
të		O
nderuar		O
Fatos		B-PER
Baxhaku		I-PER
,		O
emri		O
i		O
të		O
cilit		O
është		O
në		O
ballë		O
të		O
kësaj		O
gare		O
dhe		O
të		O
këtij		O
konkursi		O
.		O
Modeli		O
i		O
gazetarisë		O
nuk		O
është		O
mes		O
nesh		O
fizikisht		O
,		O
por		O
e		O
kemi		O
të		O
gjallë		O
në		O
reportazhet		O
dhe		O
dokumentarët		O
që		O
na		O
ka		O
lënë		O
si		O
trashëgimi		O
.		O
