Drejtoria		B-ORG
e		I-ORG
Përgjithshme		I-ORG
e		I-ORG
Shërbimeve		I-ORG
të		I-ORG
Transportit		I-ORG
u		O
ka		O
bërë		O
thirrje		O
drejtuesve		O
të		O
mjeteve		O
motorike		O
që		O
paguajnë		O
në		O
kohë		O
kolaudimin		O
,		O
siguracionin		O
dhe		O
taksat		O
,		O
në		O
të		O
kundërt		O
ata		O
do		O
të		O
penalizohen		O
nëse		O
konstatohen		O
në		O
qarkullim		O
.		O
Kjo		O
drejtori		O
po		O
zhvillohen		O
kontrolle		O
intensive		O
në		O
Tiranë		B-VEND_0
përmes		O
sistemeve		O
inteligjente		O
të		O
skanimit		O
të		O
targave		O
.		O
Këto		O
sisteme		O
ndihmojnë		O
në		O
konstatimin		O
e		O
mjeteve		O
motorike		O
në		O
të		O
cilat		O
lëvizja		O
bëhet		O
pa		O
kolaudim		O
,		O
pa		O
siguracionin		O
apo		O
pa		O
paguar		O
taksat		O
.		O
"		O
Vetëm		O
brenda		O
një		O
turni		O
ditor		O
monitorues		O
në		O
Tiranë		B-VEND_0
(		O
Qendër-Kinostudio		O
,		O
Unaza		O
e		O
Madhe		O
,		O
Unaza		O
e		O
Vogël		O
,		O
Komuna		O
e		O
Parisit		O
,		O
Selitë		O
)		O
,		O
nga		O
3362		O
targa		O
të		O
skanuara		O
,		O
Makina		O
Inteligjente		O
e		O
DPSHTTR		B-ORG
ka		O
zbuluar		O
392		O
targa		O
të		O
mjeteve		O
debitore		O
,		O
në		O
qarkullim		O
me		O
taksa		O
të		O
papaguara		O
,		O
ose		O
11.6		O
%		O
me		O
detyrime		O
të		O
pashlyera		O
"		O
bëri		O
të		O
ditur		O
drejtori		O
Blendi		B-PER
Gonxhe		I-PER
.		O
Zoti		O
Goxhe		B-PER
tha		O
se		O
"		O
qëllimi		O
kryesor		O
i		O
projektit		O
është		O
evidentimi		O
i		O
situatës		O
reale		O
mbi		O
mjetet		O
rrugore		O
që		O
qarkullojnë		O
në		O
kundërshtim		O
me		O
rregullat		O
,		O
dhe		O
rritja		O
e		O
besimit		O
të		O
publikut		O
tek		O
shërbimet		O
e		O
transportit		O
rrugor		O
,		O
duke		O
ngushtuar		O
lakun		O
ndaj		O
abuzivizmit		O
dhe		O
pandëshkueshmërisë		O
së		O
spekulantëve		O
"		O
.		O
