Të		B-DATE_1
mërkurën		I-DATE_1
myslimanët		O
shqiptarë		O
dhe		O
ata		O
në		O
mbarë		O
botën		O
kremtojnë		O
festën		O
e		O
Kurban		O
Bajramit		O
.		O
Kryetari		O
i		O
Komunitetit		O
Mysliman		O
të		O
Shqipërisë		B-VEND_1
,		O
Bujar		B-PER
Spahiu		I-PER
përcolli		O
urimin		O
e		O
tij		O
me		O
rastin		O
e		O
kësaj		O
feste		O
simbol		O
i		O
sakrificës		O
dhe		O
durimit		O
.		O
"		O
Kurban		O
Bajrami		O
është		O
një		O
festë		O
që		O
materializon		O
bindjen		O
e		O
lartë		O
,		O
dorëzimin		O
,		O
durimin		O
dhe		O
sakrificën		O
e		O
njeriut		O
ndaj		O
Zotit		O
të		O
gjithësisë		O
.		O
Kurban		O
Bajrami		O
është		O
festë		O
që		O
përjetohet		O
në		O
çdo		O
zemër		O
e		O
në		O
çdo		O
vatër		O
.		O
Është		O
pjesë		O
e		O
gjithë		O
shoqërisë		O
.		O
Ata		O
që		O
kanë		O
mundësi		O
presin		O
kurban		O
dhe		O
shpërndajnë		O
për		O
çdo		O
njeri		O
e		O
familje		O
në		O
nevojë		O
,		O
e		O
kjo		O
e		O
bën		O
këtë		O
festë		O
që		O
të		O
futet		O
në		O
çdo		O
shtëpi		O
.		O
Të		O
gjithë		O
e		O
ndiejnë		O
atmosferën		O
dhe		O
solidaritetin		O
e		O
kësaj		O
feste		O
"		O
shprehet		O
Kryetari		O
i		O
Komunitetit		O
Mysliman		O
të		O
Shqipërisë		B-VEND_1
,		O
Bujar		B-PER
Spahiu		I-PER
.		O
Një		O
lutje		O
formulon		O
kreu		O
i		O
Komunitetit		O
Mysliman		O
të		O
Shqipërisë		B-VEND_1
për		O
rininë		O
dhe		O
të		O
varfërit		O
.		O
"		O
Për		O
më		O
të		O
varfërit		O
,		O
lehtësoua		O
shqetësimet		O
që		O
sjell		O
varfëria		O
.		O
Bëje		O
rininë		O
të		O
hajrit		O
dhe		O
të		O
qëndrueshme		O
në		O
anën		O
e		O
të		O
mirë		O
.		O
I		O
lutemi		O
Zotit		O
për		O
kombin		O
tonë		O
,		O
rininë		O
,		O
mësuesit		O
,		O
mjekët		O
,		O
policët		O
,		O
ushtarakët		O
dhe		O
gjithsecilin		O
që		O
punon		O
për		O
sigurinë		O
mirëqënien		O
e		O
prosperitetin		O
e		O
vendit		O
tonë		O
"		O
shprehet		O
zoti		O
Spahiu		B-PER
me		O
rastin		O
e		O
festën		O
e		O
Kurban		O
Bajramit		O
.		O
