Tirana		B-VEND_0
i		O
rikthehet		O
normalitetit		O
pas		O
shirave		O
të		O
rrëmbyeshëm		O
,		O
punonjësit		O
e		O
Bashkisë		O
në		O
terren		O
Kryebashkiaku		O
Erion		B-PER
Veliaj		I-PER
ka		O
falenderuar		O
të		O
gjithë		O
ekipet		O
e		O
emergjencës		O
të		O
cilët		O
punuan		O
për		O
rikthimin		O
në		O
normalitet		O
të		O
rrugëve		O
në		O
kryeqytet		O
.		O
"		O
Mirënjohje		O
ekipeve		O
të		O
emergjencave		O
të		O
Qytetit		O
të		O
Tiranës		B-VEND_0
,		O
për		O
rikthimin		O
në		O
normalitet		O
të		O
akseve		O
të		O
Tiranës		B-VEND_0
pas		O
rrebeshit		O
të		O
sotëm		O
!		O
Në		O
punë		O
minutash		O
i		O
kthehemi		O
plotësisht		O
rutinës		O
së		O
qytetit		O
"		O
,		O
shkruan		O
Veliaj		B-PER
.		O
