Tiranë		B-VEND_0
,		O
organizohet		O
"		B-EVENT
MotoSport		I-EVENT
Weekend		I-EVENT
"		I-EVENT
"		O
Patina		O
,		O
Supermoto		O
,		O
Skuter		O
elektrik		O
janë		O
këto		O
disiplinat		O
që		O
po		O
marrin		O
pjesë		O
në		O
garat		O
e		O
organizuara		O
në		O
cirkutin		O
e		O
ndërtuar		O
,		O
posaçërisht		O
nga		O
Bashkia		O
Tiranë		B-VEND_0
,		O
në		O
segmentin		O
e		O
fundit		O
të		O
Bulevardit		O
Zog		O
I		O
.		O
Në		O
këtë		O
event		O
do		O
të		O
ketë		O
gjithashtu		O
edhe		O
një		O
defile		O
të		O
motorit		O
emblematik		O
Vespa		B-PRO
.		O
Eventi		O
organizohet		O
nga		O
Bashkia		O
Tiranë		O
në		O
bashkëpunim		O
me		O
Drejtorinë		B-ORG
e		I-ORG
Përgjithshme		I-ORG
të		I-ORG
Shërbimit		I-ORG
të		I-ORG
Transportit		I-ORG
Rrugor		I-ORG
,		O
Federatën		B-ORG
Shqiptare		I-ORG
te		I-ORG
Motociklizmit		I-ORG
dhe		O
Drejtorinë		B-ORG
e		I-ORG
Policisë		I-ORG
Rrugore		I-ORG
.		O
Gara		O
të		O
tjera		O
por		O
edhe		O
shpërndarja		O
e		O
çmimeve		O
do		O
të		O
behet		O
ditën		O
e		O
nesërme		O
(		O
9		B-DATE_0
prill		I-DATE_0
)		O
.		O
Duhet		O
thënë		O
gjithashtu		O
se		O
këto		O
aktivitete		O
zhvillohen		O
në		O
kuadër		O
të		O
organizimeve		O
"		O
Tirana		O
2023		O
,		O
Qyteti		O
Europian		O
i		O
Sporteve		O
.		O
