Shqipëria		B-VEND_1
ka		O
nje		O
rekord		O
jo		O
të		O
mirë		O
,		O
sa		O
i		O
përket		O
llogari		O
-		O
kërkimit		O
dhe		O
ankimimit		O
në		O
dyert		O
e		O
institucioneve		O
nga		O
ana		O
e		O
punonjësve		O
.		O
Peshorja		O
anon		O
kryesisht		O
tek		O
punëmarrësit		O
.		O
Së		O
fundmi		O
,		O
Organizata		B-ORG
Ndërkombëtare		I-ORG
e		I-ORG
Punës		I-ORG
,		O
ILO		B-ORG
,		O
ka		O
ndërmarrë		O
disa		O
nisma		O
të		O
rëndësishme		O
në		O
kuadër		O
të		O
Konventës		O
190		O
,		O
si		O
nënshkrimi		O
i		O
Memorandumit		O
të		O
Bashkepunimit		O
mes		O
Komisionerit		O
për		O
Mbrojtjen		O
Kundër		O
Dhunës		O
dhe		O
Diskriminimit		O
dhe		O
Kryeinspektorit		O
të		O
Inspektoriatit		O
të		O
Punës		O
,		O
me		O
qëllim		O
,		O
nxitjen		O
e		O
punonjësve		O
,		O
për		O
të		O
adresuar		O
në		O
rrugë		O
institucionale		O
,		O
rastet		O
e		O
abuzimit		O
,		O
kërcënimit		O
,		O
frikësimit		O
dhe		O
diskriminimit		O
në		O
ambientet		O
e		O
punës		O
.		O
