Konferencë		B-EVENT
shkencore		I-EVENT
mbi		I-EVENT
globalizimin		I-EVENT
-		O
Universiteti		O
i		O
Durrësit		B-VEND_0
bashkëpunim		O
me		O
"		O
la		O
Sapienza		O
"		O
dhe		O
"		O
Cote		O
d'Azur"		O
21		B-DATE_0
/		I-DATE_0
12		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Globalizimi		O
dhe		O
ndërkombëtarizimi		O
,		O
ishte		O
tema		O
e		O
konferencës		O
shkencore		O
e		O
Bashkorganizuar		O
nga		O
universiteti		O
"		O
Aleksandër		O
Mosiu		O
"		O
në		O
Durrës		B-VEND_0
në		O
bashkëpunim		O
me		O
universitetin		O
"		O
la		O
Sapienza		O
"		O
të		O
Romës		B-VEND_0
dhe		O
"		O
Cote		O
d'Azur"		O
në		O
Nicës		B-VEND_0
në		O
Francë		B-VEND_1
,		O
e		O
ku		O
kërkues		O
të		O
shumtë		O
paraqesin		O
arritjet		O
e		O
tyre		O
.		O
Rektorja		O
e		O
UMAD		O
Kseanela		B-PER
Sotirovski		I-PER
vlerëson		O
ecurinë		O
e		O
deritanishme		O
në		O
dhënien		O
e		O
diplomave		O
të		O
dyfishta		O
Marco		B-PER
Cilento		I-PER
,		O
drejtues		O
i		O
programit		O
për		O
bashkëpunimin		O
dhe		O
zhvillimin		O
ndërkombëtar		O
veçoi		O
rëndësinë		O
e		O
këtyre		O
bashkëpunimeve		O
në		O
dobi		O
të		O
studentëve		O
.		O
"		O
Sot		O
do		O
të		O
thellojmë		O
disa		O
tema		O
të		O
cilat		O
do		O
t		O
japin		O
një		O
kontribut		O
të		O
mëtejshëm		O
bashkëpunimit		O
tonë		O
,		O
bashkëpunimit		O
ndërkombëtar		O
,		O
dhe		O
veçanërisht		O
ai		O
italian		O
që		O
ka		O
edhe		O
një		O
zyrë		O
në		O
Tiranë		B-VEND_0
për		O
të		O
krijuar		O
mundësi		O
të		O
mëtejshme		O
në		O
thellimin		O
e		O
marrëdhënieve		O
midis		O
Italisë		B-VEND_1
dhe		O
Shqipërisë		B-VEND_1
,		O
jo		O
vetëm		O
në		O
fushën		O
politike		O
,		O
por		O
edhe		O
atë		O
të		O
edukimit		O
"		O
,		O
u		O
shpreh		O
Cilento		B-PER
.		O
Drejtuesja		O
e		O
departamentit		O
të		O
administrimit		O
publik		O
Gentiana		B-PER
Kraja		I-PER
tha		O
se		O
ndërkombëtarizimi		O
I		O
diplomave		O
ka		O
një		O
interes		O
të		O
veçantë		O
,		O
jo		O
vetëm		O
për		O
universitetin		O
tonë		O
,		O
por		O
është		O
edhe		O
prioritet		O
për		O
qeverinë		O
shqiptare		O
.		O
