Bora		B-PER
zbardh		O
juglindjen		O
,		O
nuk		O
ka		O
problematika		O
në		O
qarkullimin		O
e		O
mjeteve		O
18		B-DATE_0
/		I-DATE_0
11		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Kryesisht		O
reshjet		O
më		O
të		O
shumta		O
në		O
qarkun		O
e		O
Korçës		B-VEND_0
kanë		O
qenë		O
në		O
fshatra		O
të		O
Voskopojës		O
,		O
Lekasit		O
si		O
dhe		O
në		O
fshatra		O
të		O
Devollit		O
të		O
Sipërm		O
.		O
Probleme		O
në		O
qarkullim		O
paraqiten		O
vetëm		O
në		O
majë		O
të		O
Mashkullores		O
në		O
aksin		O
rrugor		O
Korçë		B-VEND_0
-		O
Panarit		O
,		O
aty		O
ku		O
dhe		O
trashësia		O
e		O
borës		O
ka		O
shkuar		O
deri		O
në		O
20		O
cm		O
.		O
Nga		O
ana		O
e		O
Autoritetit		B-ORG
Rrugor		I-ORG
Shqiptar		I-ORG
anë		O
marrë		O
të		O
gjitha		O
masat		O
për		O
pastrimin		O
e		O
rrugës		O
dhe		O
kriposjen		O
e		O
saj		O
në		O
mënyrë		O
që		O
qarkullimi		O
të		O
kryhet		O
normalisht		O
.		O
