Austri		B-VEND_1
,		O
disa		O
të		O
shtruar		O
në		O
spital		O
,		O
dyshohet		O
nga		O
ilaçi		O
i		O
falsifikuar		O
për		O
diabetin		O
24		B-DATE_0
/		I-DATE_0
10		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Edhe		O
rregullatori		O
evropian		O
për		O
medikamentet		O
paralajmëroi		O
javën		O
e		O
kaluar		O
se		O
në		O
Evropë		O
po		O
qarkullojnë		O
aparate		O
për		O
diabetin		O
në		O
formë		O
stilolapsi		O
nga		O
kompania		O
Novo		B-ORG
Nordisk		I-ORG
,		O
që		O
janë		O
të		O
falsifikuara		O
,		O
si		O
produkti		O
"		O
Ozempic		O
"		O
edhe		O
"		O
Wegovy		O
"		O
,		O
i		O
cili		O
shërben		O
për		O
të		O
humbur		O
peshë		O
dhe		O
shitet		O
në		O
internet		O
.		O
