Kosovë		B-VEND_1
,		O
IKSHPK		B-ORG
:		O
Uji		O
nga		O
Badoci		O
të		O
mos		O
përdoret		O
për		O
pije		O
dhe		O
gatim		O
20		B-DATE_0
/		I-DATE_0
10		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Instituti		B-ORG
Kombëtar		I-ORG
i		I-ORG
Shëndetësisë		I-ORG
Publike		I-ORG
të		I-ORG
Kosovës		I-ORG
(		I-ORG
IKSHPK		I-ORG
)		I-ORG
ka		O
apeluar		O
qytetarët		O
që		O
furnizohen		O
me		O
ujë		O
nga		O
fabrika		O
e		O
ujit		O
në		O
liqenin		O
e		O
Badocit		O
që		O
të		O
mos		O
e		O
përdorin		O
atë		O
për		O
pije		O
dhe		O
përgatitje		O
të		O
ushqimit		O
,		O
njofton		O
Radio		O
Evoropa		O
e		O
Lirë		O
.		O
IKSHPK		B-ORG
ka		O
listuar		O
të		O
gjitha		O
zonat		O
që		O
furnizohen		O
me		O
ujë		O
nga		O
fabrika		O
e		O
ujit		O
në		O
Badoc		O
.		O
IKSHPK		B-ORG
tha		O
po		O
ashtu		O
se		O
ka		O
ngritur		O
shkallën		O
e		O
gatishmërisë		O
dhe		O
kontrollit		O
të		O
cilësisë		O
së		O
ujit		O
për		O
pije		O
në		O
zonën		O
e		O
mbulueshmërisë		O
.		O
