Shkodër		B-VEND_0
/		O
Konviktet		O
janë		O
gati		O
,		O
godinat		O
e		O
rikonstruktuara		O
do		O
presin		O
450		O
studentë		O
20		B-DATE_0
/		I-DATE_0
09		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Administratorja		O
,		O
Sindis		B-PER
Kopliku		I-PER
tregon		O
se		O
stafi		O
ka		O
zhvilluar		O
disa		O
takime		O
edhe		O
në		O
fakultete		O
të		O
ndryshme		O
me		O
qëllim		O
jo		O
vetëm		O
promovimin		O
,		O
por		O
edhe		O
njohjen		O
e		O
studentëve		O
me		O
kushtet		O
dhe		O
shërbimet		O
që		O
ofron		O
kjo		O
njësi		O
akomoduese		O
.		O
"		O
Ka		O
patur		O
një		O
ndërhyrje		O
nga		O
fondi		O
Shqiptar		O
i		O
Zhvillimit		O
e		O
cila		O
shihet		O
dukshshëm		O
që		O
janë		O
kushte		O
mjaft		O
të		O
favorshme		O
.		O
Aktualisht		O
kemi		O
kontaktuar		O
me		O
të		O
gjitha		O
degët		O
e		O
universitete		O
për		O
informacione		O
rreth		O
studentëve		O
që		O
janë		O
jashtë		O
rretheve		O
të		O
Shkodrës		B-VEND_0
"		O
,		O
tha		O
Kopliku		B-PER
.		O
Kjo		O
ndërmarrje		O
u		O
inspektua		O
edhe		O
nga		O
Kryebashkiaku		O
Benet		B-PER
Beci		I-PER
i		O
cili		O
premtoi		O
se		O
do		O
të		O
ketë		O
një		O
vëmendje		O
të		O
shtuar		O
ndaj		O
këtyre		O
njësive		O
akomoduese		O
.		O
Gazetar		O
:		O
M		B-PER
.		O
Gjoni		I-PER
