E		B-DATE_1
diela		I-DATE_1
në		O
periferi		O
,		O
kryeqytetasit		O
ia		O
lënë		O
qytetin		O
turistëve		O
,		O
vetë		O
zgjedhin		O
fshatin		O
10		B-DATE_0
/		I-DATE_0
09		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Ndërkohë		O
që		O
Tirana		B-VEND_0
vazhdon		O
të		O
jetë		O
destinacioni		O
i		O
preferuar		O
veror		O
për		O
shumë		O
turistë		O
nga		O
Europa		O
dhe		O
bota		O
,		O
të		O
shumtë		O
janë		O
qytetarët		O
të		O
cilët		O
kanë		O
zgjedhur		O
të		O
kalojnë		O
pak		O
kohë		O
duke		O
u		O
relaksuar		O
në		O
zonat		O
më		O
të		O
lakmuar		O
periferike		O
të		O
kryeqytetit		O
.		O
Gazetar		O
:		O
Omer		B-PER
Saraçi		I-PER
