Syzet		B-PRO
për		I-PRO
kompjuter		I-PRO
/		O
Studimi		O
i		O
ri		O
nxjerr		O
se		O
nuk		O
i		O
mbrojnë		O
shumë		O
sytë		O
nga		O
lodhja		O
21		B-DATE_0
/		I-DATE_0
08		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
"		O
Ne		O
mendojmë		O
se		O
të		O
rriturit		O
e		O
shëndetshëm		O
nuk		O
kanë		O
pse		O
të		O
përdorin		O
xhama		O
që		O
filtrojnë		O
dritën		O
blu		O
,		O
me		O
qëllimin		O
për		O
të		O
pakësuar		O
lodhjen		O
e		O
syve		O
nga		O
përdorimi		O
i		O
kompjuterit		O
,		O
"		O
tha		O
Laura		B-PER
Downie		I-PER
,		O
autorja		O
e		O
studimit		O
,		O
po		O
ashtu		O
profesore		O
e		O
asociuar		O
i		O
optometrisë		O
dhe		O
shkencës		O
së		O
shikimit		O
në		O
Universitetin		O
e		O
Melburnit		B-VEND_0
.		O
"		O
Nuk		O
ka		O
vërtet		O
asnjë		O
provë		O
që		O
syzet		O
bllokuese		O
të		O
dritës		O
blu		O
kanë		O
ndonjë		O
ndikim		O
të		O
mirë		O
nga		O
ana		O
shëndetësore		O
,		O
madje		O
mund		O
të		O
mos		O
kenë		O
as		O
ndikim		O
në		O
kuptimin		O
okular		O
kur		O
bëhet		O
fjalë		O
për		O
sytë		O
,		O
"		O
thotë		O
kirurgu		O
i		O
syve		O
,		O
Rahul		B-PER
Khurana		I-PER
.		O
Sipas		O
kompanive		O
që		O
prodhojnë		O
syze		O
të		O
tilla		O
,		O
si		O
Warby		B-PER
Parker		I-PER
dhe		O
Felix		B-PER
Grey		I-PER
,		O
xhamat		O
për		O
dritën		O
blu		O
mund		O
të		O
lehtësojnë		O
gjumin		O
kur		O
kaloni		O
kohë		O
të		O
gjatë		O
para		O
ekranit		O
,		O
mund		O
të		O
pakësojnë		O
lodhjen		O
apo		O
tharjen		O
e		O
syve		O
.		O
Dr		O
.		O
Khurana		B-PER
rekomandon		O
që		O
personat		O
duhet		O
të		O
jenë		O
të		O
vetëdijshëm		O
dhe		O
të		O
mbyllin		O
herë		O
pas		O
here		O
qepallat		O
e		O
syve		O
për		O
t'i		O
qetësuar		O
ata		O
,		O
deri		O
15		O
herë		O
për		O
minutë		O
.		O
"		O
Kur		O
jeni		O
të		O
përqendruar		O
te		O
diçka		O
,		O
duke		O
parë		O
ekranin		O
ose		O
kompjuterin		O
,		O
refleksi		O
për		O
mbylljen		O
e		O
qepallave		O
ulet		O
5–7		O
për		O
minutë		O
,		O
dhe		O
si		O
rezultat		O
i		O
kësaj		O
,		O
sytë		O
thahen		O
,		O
"		O
shpjegon		O
Khurana		B-PER
,		O
i		O
cili		O
është		O
edhe		O
zëdhënës		O
i		O
Akademisë		O
Amerikane		O
të		O
Oftalmologjisë		O
.		O
/		O
WP		O
